Context_ID,Site_Context,Strategy_ID,Strategy,Working_Days,Shift_Hours,Idle_Percent,Grid_Availability,Grid_Carbon_kgCO2e_per_kWh,Diesel_Price_GBP_per_L,Electricity_Price_GBP_per_kWh,Noise_Sensitivity,Community_Sensitivity,Plant_Diesel_L,Temporary_Power_Diesel_L,Grid_Electricity_kWh,Operational_CO2e_kg,Expanded_Energy_CO2e_kg,Carbon_Reduction_vs_Baseline,Energy_Cost_GBP,Hire_and_Power_Cost_GBP,Total_Cost_GBP,Productivity_Index,Expected_Downtime_h_per_day,Exhaust_NOx_Index,Exhaust_PM_Index,Noise_Index,Air_Quality_Benefit_Index,Noise_Benefit_Index,Daily_Plant_Electricity_kWh,Battery_Charges_per_Day,Data_Quality_Note,Scenario_Note
C1,Urban site near a school,S1,Conventional diesel plant + diesel generator,30,7,0.2,Available,0.13096,1.55,0.25,High,High,584.64,180,0,1975.4780256000001,2442.6807120000003,0,1185.192,7200,8385.192,100,0.1,100,100,100,0,0,0,0,Teaching assumptions; official carbon factors applied,Urban site with strong air-quality and noise concerns; suitable grid connection. | Represents a traditional site-energy arrangement.
C1,Urban site near a school,S2,Stage V diesel + anti-idling + right-sized generator,30,7,0.2,Available,0.13096,1.55,0.25,High,High,488.03999999999996,144,0,1632.9006216,2019.0833820000003,0.173414940364093,979.6619999999999,7650,8629.662,100,0.1,35,25,95,70,5,0,0,Teaching assumptions; official carbon factors applied,Urban site with strong air-quality and noise concerns; suitable grid connection. | Tests efficiency before full electrification.
C1,Urban site near a school,S3,Grid-connected electric plant,30,7,0.2,Available,0.13096,1.55,0.25,High,High,0,0,1223.0763000000002,160.17407224800002,221.09550275100003,0.9189188286721887,305.76907500000004,8700,9005.769075,97,0.5,0,0,55,100,45,20.769210000000005,1,Manufacturer-informed electricity use; teaching cost assumptions,Urban site with strong air-quality and noise concerns; suitable grid connection. | Uses a 20 kWh battery and an indicative six-hour runtime.
C1,Urban site near a school,S4,Electric plant + battery storage + smart charging,30,7,0.2,Available,0.13096,1.55,0.25,High,High,0,0,1369.8454560000005,116.60672459654404,184.83872675990406,0.9409729072733534,342.4613640000001,10200,10542.461364,99,0.2,0,0,50,100,50,23.26151520000001,1,Manufacturer-informed electricity use; smart charging is a teaching assumption,Urban site with strong air-quality and noise concerns; suitable grid connection. | Time-shifts charging and adds temporary battery storage.
C2,Remote infrastructure site,S1,Conventional diesel plant + diesel generator,45,8,0.15,Limited,0.13096,1.55,0.3,Low,Low,1039.68,337.5,0,3557.9996172000006,4399.470369000001,0,2134.6290000000004,10800,12934.629,100,0.1,100,100,100,0,0,0,0,Teaching assumptions; official carbon factors applied,Grid access is limited; temporary power and charging logistics are important. | Represents a traditional site-energy arrangement.
C2,Remote infrastructure site,S2,Stage V diesel + anti-idling + right-sized generator,45,8,0.15,Limited,0.13096,1.55,0.3,Low,Low,879.4799999999999,270,0,2969.7275592,3672.0713340000007,0.16533786433146003,1781.6940000000002,11475,13256.694,100,0.1,35,25,95,70,5,0,0,Teaching assumptions; official carbon factors applied,Grid access is limited; temporary power and charging logistics are important. | Tests efficiency before full electrification.
C2,Remote infrastructure site,S3,Grid-connected electric plant,45,8,0.15,Limited,0.13096,1.55,0.3,Low,Low,0,0,2255.7681000000002,295.415390376,407.775199437,0.9169714946151456,676.7304300000001,13050,13726.73043,97,0.5,0,0,55,100,45,25.12818,1,Manufacturer-informed electricity use; teaching cost assumptions,Grid access is limited; temporary power and charging logistics are important. | Uses a 20 kWh battery and an indicative six-hour runtime.
C2,Remote infrastructure site,S4,Electric plant + battery storage + smart charging,45,8,0.15,Limited,0.13096,1.55,0.3,Low,Low,0,0,2526.4602720000003,215.06240419372804,340.905390342048,0.939555248079826,757.9380816,15300,16057.9380816,99,0.2,0,0,50,100,50,28.1435616,1,Manufacturer-informed electricity use; smart charging is a teaching assumption,Grid access is limited; temporary power and charging logistics are important. | Time-shifts charging and adds temporary battery storage.
C3,City-centre noise-restricted site,S1,Conventional diesel plant + diesel generator,25,6,0.15,Available,0.13096,1.55,0.27,Very high,High,433.2,135,0,1467.9674280000002,1815.1433100000004,0,880.7100000000002,6000,6880.71,100,0.1,100,100,100,0,0,0,0,Teaching assumptions; official carbon factors applied,Shorter working window and strong noise constraints favour quiet plant. | Represents a traditional site-energy arrangement.
C3,City-centre noise-restricted site,S2,Stage V diesel + anti-idling + right-sized generator,25,6,0.15,Available,0.13096,1.55,0.27,Very high,High,366.45,108,0,1225.760553,1515.6542475,0.16499472016895467,735.3975,6375,7110.3975,100,0.1,35,25,95,70,5,0,0,Teaching assumptions; official carbon factors applied,Shorter working window and strong noise constraints favour quiet plant. | Tests efficiency before full electrification.
