Context_ID,Site_Context,Strategy_ID,Strategy,Plant_Powertrain,Working_Days,Shift_Hours,Idle_Percent,Grid_Availability,Grid_Carbon_kgCO2e_per_kWh,Diesel_Price_GBP_per_L,Electricity_Price_GBP_per_kWh,Noise_Sensitivity,Community_Sensitivity,Plant_Diesel_L,Temporary_Power_Diesel_L,Grid_Electricity_kWh,Operational_CO2e_kg_dynamic,Expanded_Energy_CO2e_kg_dynamic,Energy_Cost_GBP,Hire_and_Power_Cost_GBP,Total_Cost_GBP_dynamic,Productivity_Index,Expected_Downtime_h_per_day,Exhaust_NOx_Index,Exhaust_PM_Index,Noise_Index,Air_Quality_Benefit_Index,Noise_Benefit_Index,Daily_Plant_Electricity_kWh,Battery_Charges_per_Day,Data_Quality_Note,Calculation_Use,Teaching_Note,Key_Risk,Scenario_Note,Operational_Reduction_vs_Baseline,Expanded_Reduction_vs_Baseline,Operational_CO2e_kg_tableau,Expanded_Energy_CO2e_kg_tableau,Total_Cost_GBP_tableau,Operational_CO2e_kg_abs_diff,Expanded_Energy_CO2e_kg_abs_diff,Total_Cost_GBP_abs_diff
C1,Urban site near a school,S1,Conventional diesel plant + diesel generator,Diesel,30.0,7.0,0.2,Available,0.13096,1.55,0.25,High,High,584.64,180.0,0.0,1975.4780256000001,2442.6807120000003,1185.192,7200.0,8385.192,100.0,0.1,100.0,100.0,100.0,0.0,0.0,0.0,0.0,Teaching assumptions; official carbon factors applied,Baseline,Represents a traditional site-energy arrangement.,High operational carbon and local exhaust emissions.,Urban site with strong air-quality and noise concerns; suitable grid connection. | Represents a traditional site-energy arrangement.,0.0,0.0,1975.4780256,2442.6807120000003,8385.192,2.2737367544323206e-13,0.0,0.0
C1,Urban site near a school,S2,Stage V diesel + anti-idling + right-sized generator,Efficient diesel,30.0,7.0,0.2,Available,0.13096,1.55,0.25,High,High,488.03999999999996,144.0,0.0,1632.9006216,2019.0833820000003,979.6619999999999,7650.0,8629.662,100.0,0.1,35.0,25.0,95.0,70.0,5.0,0.0,0.0,Teaching assumptions; official carbon factors applied,Improvement scenario,Tests efficiency before full electrification.,Still dependent on diesel and site discipline.,Urban site with strong air-quality and noise concerns; suitable grid connection. | Tests efficiency before full electrification.,0.173414940364093,0.17341494036409288,1632.9006216,2019.0833820000005,8629.662,0.0,2.2737367544323206e-13,0.0
C1,Urban site near a school,S3,Grid-connected electric plant,Battery electric,30.0,7.0,0.2,Available,0.13096,1.55,0.25,High,High,0.0,0.0,1223.0763000000002,160.17407224800002,221.09550275100003,305.76907500000004,8700.0,9005.769075,97.0,0.5,0.0,0.0,55.0,100.0,45.0,20.769210000000005,1.0,Manufacturer-informed electricity use; teaching cost assumptions,Electrification scenario,Uses a 20 kWh battery and an indicative six-hour runtime.,Charging access and shift length may limit feasibility.,Urban site with strong air-quality and noise concerns; suitable grid connection. | Uses a 20 kWh battery and an indicative six-hour runtime.,0.9189188286721887,0.9094865318807986,160.17407224800002,221.09550275100003,9005.769075,0.0,0.0,0.0
C1,Urban site near a school,S4,Electric plant + battery storage + smart charging,Battery electric + BESS,30.0,7.0,0.2,Available,0.13096,1.55,0.25,High,High,0.0,0.0,1369.8454560000005,116.60672459654404,184.83872675990406,342.4613640000001,10200.0,10542.461364,99.0,0.2,0.0,0.0,50.0,100.0,50.0,23.26151520000001,1.0,Manufacturer-informed electricity use; smart charging is a teaching assumption,Smart electrification scenario,Time-shifts charging and adds temporary battery storage.,"Battery cost, storage losses and logistics must be justified.",Urban site with strong air-quality and noise concerns; suitable grid connection. | Time-shifts charging and adds temporary battery storage.,0.9409729072733534,0.9243295589751626,116.60672459654404,184.8387267599041,10542.461364,0.0,2.842170943040401e-14,0.0
C2,Remote infrastructure site,S1,Conventional diesel plant + diesel generator,Diesel,45.0,8.0,0.15,Limited,0.13096,1.55,0.3,Low,Low,1039.68,337.5,0.0,3557.9996172000006,4399.470369000001,2134.6290000000004,10800.0,12934.629,100.0,0.1,100.0,100.0,100.0,0.0,0.0,0.0,0.0,Teaching assumptions; official carbon factors applied,Baseline,Represents a traditional site-energy arrangement.,High operational carbon and local exhaust emissions.,Grid access is limited; temporary power and charging logistics are important. | Represents a traditional site-energy arrangement.,0.0,0.0,3557.999617200001,4399.470369000001,12934.629,4.547473508864641e-13,0.0,0.0
C2,Remote infrastructure site,S2,Stage V diesel + anti-idling + right-sized generator,Efficient diesel,45.0,8.0,0.15,Limited,0.13096,1.55,0.3,Low,Low,879.4799999999999,270.0,0.0,2969.7275592,3672.0713340000007,1781.6940000000002,11475.0,13256.694,100.0,0.1,35.0,25.0,95.0,70.0,5.0,0.0,0.0,Teaching assumptions; official carbon factors applied,Improvement scenario,Tests efficiency before full electrification.,Still dependent on diesel and site discipline.,Grid access is limited; temporary power and charging logistics are important. | Tests efficiency before full electrification.,0.16533786433146003,0.16533786433145992,2969.7275592,3672.0713340000007,13256.694,0.0,0.0,0.0
C2,Remote infrastructure site,S3,Grid-connected electric plant,Battery electric,45.0,8.0,0.15,Limited,0.13096,1.55,0.3,Low,Low,0.0,0.0,2255.7681000000002,295.415390376,407.775199437,676.7304300000001,13050.0,13726.73043,97.0,0.5,0.0,0.0,55.0,100.0,45.0,25.12818,1.0,Manufacturer-informed electricity use; teaching cost assumptions,Electrification scenario,Uses a 20 kWh battery and an indicative six-hour runtime.,Charging access and shift length may limit feasibility.,Grid access is limited; temporary power and charging logistics are important. | Uses a 20 kWh battery and an indicative six-hour runtime.,0.9169714946151456,0.9073126614716381,295.415390376,407.775199437,13726.73043,0.0,0.0,0.0
C2,Remote infrastructure site,S4,Electric plant + battery storage + smart charging,Battery electric + BESS,45.0,8.0,0.15,Limited,0.13096,1.55,0.3,Low,Low,0.0,0.0,2526.4602720000003,215.06240419372804,340.905390342048,757.9380816,15300.0,16057.9380816,99.0,0.2,0.0,0.0,50.0,100.0,50.0,28.1435616,1.0,Manufacturer-informed electricity use; smart charging is a teaching assumption,Smart electrification scenario,Time-shifts charging and adds temporary battery storage.,"Battery cost, storage losses and logistics must be justified.",Grid access is limited; temporary power and charging logistics are important. | Time-shifts charging and adds temporary battery storage.,0.939555248079826,0.9225121749326531,215.06240419372804,340.905390342048,16057.9380816,0.0,0.0,0.0
C3,City-centre noise-restricted site,S1,Conventional diesel plant + diesel generator,Diesel,25.0,6.0,0.15,Available,0.13096,1.55,0.27,Very high,High,433.2,135.0,0.0,1467.9674280000002,1815.1433100000004,880.7100000000002,6000.0,6880.71,100.0,0.1,100.0,100.0,100.0,0.0,0.0,0.0,0.0,Teaching assumptions; official carbon factors applied,Baseline,Represents a traditional site-energy arrangement.,High operational carbon and local exhaust emissions.,Shorter working window and strong noise constraints favour quiet plant. | Represents a traditional site-energy arrangement.,0.0,0.0,1467.9674280000002,1815.1433100000004,6880.71,0.0,0.0,0.0
C3,City-centre noise-restricted site,S2,Stage V diesel + anti-idling + right-sized generator,Efficient diesel,25.0,6.0,0.15,Available,0.13096,1.55,0.27,Very high,High,366.45,108.0,0.0,1225.760553,1515.6542475,735.3975,6375.0,7110.3975,100.0,0.1,35.0,25.0,95.0,70.0,5.0,0.0,0.0,Teaching assumptions; official carbon factors applied,Improvement scenario,Tests efficiency before full electrification.,Still dependent on diesel and site discipline.,Shorter working window and strong noise constraints favour quiet plant. | Tests efficiency before full electrification.,0.16499472016895467,0.16499472016895467,1225.760553,1515.6542475,7110.3975,0.0,0.0,0.0
C3,City-centre noise-restricted site,S3,Grid-connected electric plant,Battery electric,25.0,6.0,0.15,Available,0.13096,1.55,0.27,Very high,High,0.0,0.0,921.153375,120.63424599,166.51689559874998,248.71141125,7250.0,7498.71141125,97.0,0.5,0.0,0.0,55.0,100.0,45.0,18.846135,0.0,Manufacturer-informed electricity use; teaching cost assumptions,Electrification scenario,Uses a 20 kWh battery and an indicative six-hour runtime.,Charging access and shift length may limit feasibility.,Shorter working window and strong noise constraints favour quiet plant. | Uses a 20 kWh battery and an indicative six-hour runtime.,0.9178222597524828,0.9082623974198765,120.63424599,166.51689559874998,7498.71141125,0.0,0.0,0.0
